external_id,trade_date,portfolio,category_name,market,symbol,name,side,quantity,price,target_percent
Y-BUY-4540-2024-05-23-72-0,2024-05-23,martingale,黃標,TW,4540,全球傳動,BUY,2418,34.40,12.48
Y-BUY-4168-2024-06-03-73-0,2024-06-03,martingale,黃標,TW,4168,醣聯,BUY,2934,28.35,12.48
Y-BUY-6719-2024-06-06-74-0,2024-06-06,martingale,黃標,TW,6719,力智,BUY,288,288.00,4.16
Y-SELL-3260-2024-06-11-75,2024-06-11,martingale,黃標,TW,3260,威剛,SELL,847,109.50,4.16
Y-SELL-6146-2024-06-11-76,2024-06-11,martingale,黃標,TW,6146,耕興,SELL,352,236.00,4.16
Y-BUY-1532-2024-06-12-77-0,2024-06-12,martingale,黃標,TW,1532,勤美,BUY,1664,50.00,4.16
Y-DIV-6146-2024-06-13-78,2024-06-13,martingale,黃標,TW,6146,耕興,DIVIDEND,337,10.50,
Y-SELL-4540-2024-06-13-79,2024-06-13,martingale,黃標,TW,4540,全球傳動,SELL,2390,33.25,8.32
Y-SELL-6146-2024-06-13-80,2024-06-13,martingale,黃標,TW,6146,耕興,SELL,337,226.00,0.00
Y-BUY-6180-2024-06-13-81-0,2024-06-13,martingale,黃標,TW,6180,橘子,BUY,967,86.00,4.16
Y-SELL-8028-2024-06-17-82,2024-06-17,martingale,黃標,TW,8028,昇陽半導體,SELL,1615,82.20,4.16
Y-BUY-6719-2024-06-19-83-0,2024-06-19,martingale,黃標,TW,6719,力智,BUY,276,301.00,8.32
Y-BUY-1532-2024-06-20-84-0,2024-06-20,martingale,黃標,TW,1532,勤美,BUY,1736,47.90,8.32
Y-SELL-3260-2024-06-25-85,2024-06-25,martingale,黃標,TW,3260,威剛,SELL,860,107.00,0.00
Y-SELL-4540-2024-06-26-86,2024-06-26,martingale,黃標,TW,4540,全球傳動,SELL,2494,31.75,4.16
Y-BUY-1733-2024-06-26-87-0,2024-06-26,martingale,黃標,TW,1733,五鼎,BUY,2377,35.00,4.16
Y-SELL-4540-2024-07-03-88,2024-07-03,martingale,黃標,TW,4540,全球傳動,SELL,2418,31.00,0.00
Y-BUY-1733-2024-07-03-89-0,2024-07-03,martingale,黃標,TW,1733,五鼎,BUY,2418,34.40,8.32
Y-BUY-6180-2024-07-03-90-0,2024-07-03,martingale,黃標,TW,6180,橘子,BUY,1023,81.30,8.32
Y-DIV-6180-2024-07-09-91,2024-07-09,martingale,黃標,TW,6180,橘子,DIVIDEND,1990,3.28,
Y-DIV-2359-2024-07-10-92,2024-07-10,martingale,黃標,TW,2359,所羅門,DIVIDEND,2218,1.70,
Y-SELL-8028-2024-07-12-93,2024-07-12,martingale,黃標,TW,8028,昇陽半導體,SELL,1521,122.00,0.00
Y-SELL-3029-2024-07-12-94,2024-07-12,martingale,黃標,TW,3029,零壹,SELL,1256,109.50,8.32
Y-SELL-1532-2024-07-12-95,2024-07-12,martingale,黃標,TW,1532,勤美,SELL,1664,44.10,4.16
Y-BUY-6443-2024-07-15-96-0,2024-07-15,martingale,黃標,TW,6443,元晶,BUY,2658,31.30,4.16
Y-SELL-6180-2024-07-18-97,2024-07-18,martingale,黃標,TW,6180,橘子,SELL,1990,74.70,0.00
Y-BUY-4540-2024-07-18-98-0,2024-07-18,martingale,黃標,TW,4540,全球傳動,BUY,2236,37.20,4.16
Y-DIV-6719-2024-07-18-99,2024-07-18,martingale,黃標,TW,6719,力智,DIVIDEND,564,1.99,
Y-SELL-2359-2024-07-30-100,2024-07-30,martingale,黃標,TW,2359,所羅門,SELL,2218,144.00,0.00
